DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/4/2017 9:00:00 AM,E. Coli,n/a,=,4884,MPN/100 mL,MMO-MUG,10,10,VCHCA
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/4/2017 9:00:00 AM,Total Coliform,n/a,=,461100,MPN/100 mL,MMO-MUG,1000,1000,VCHCA
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/9/2017 11:23:00 AM,Calcium,Total,=,181,mg/L,EPA 200.7,0.016,0.1,WKL
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/9/2017 11:23:00 AM,Magnesium,Total,=,49,mg/L,EPA 200.7,0.012,0.1,WKL
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,Conductivity,n/a,=,2873,µmhos/cm,Field Meter,-88,1,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,Discharge,n/a,=,0.03,cfs,Field Estimate,-88,0.01,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,DO,n/a,=,153.4,%,Field Meter,-88,0.1,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,DO,n/a,=,12.04,mg/L,Field Meter,-88,0.3,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/9/2017 11:23:00 AM,Hardness as CaCO3,Total,=,653,mg/L,EPA 200.7,0.0894,0.662,WKL
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,pH,n/a,=,8.26,pH Units,Field Meter,-88,0.01,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,Salinity,n/a,=,1400,mg/L,Field Meter,-88,100,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,Specific Conductance,n/a,=,2726,µmhos/cm,Field Meter,-88,1,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,Temperature,n/a,=,26.9,°C,Field Meter,-88,0.1,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/17/2017 1:17:00 PM,Total Organic Carbon,n/a,=,20,mg/L,SM 5310 C,0.331,3,WKL
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/3/2017 9:15:00 AM,Turbidity,n/a,=,2.82,NTU,Field Meter,-88,0.01,Field
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/9/2017 2:28:00 PM,Copper,Dissolved,=,7.9,µg/L,EPA 200.8,0.13,0.5,WKL
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/9/2017 2:28:00 PM,Lead,Dissolved,DNQ,0.12,µg/L,EPA 200.8,0.031,0.2,WKL
DRY-CAM4,2017-DRY,Dry,8/3/2017 9:15:00 AM,8/9/2017 2:28:00 PM,Zinc,Dissolved,DNQ,4.3,µg/L,EPA 200.8,0.94,5,WKL
DRY-HUE3,2017-DRY,Dry,8/3/2017 2:20:00 PM,8/4/2017 10:00:00 AM,E. Coli,n/a,=,14136,MPN/100 mL,MMO-MUG,10,10,VCHCA
DRY-HUE3,2017-DRY,Dry,8/3/2017 2:20:00 PM,8/4/2017 10:00:00 AM,Total Coliform,n/a,=,129970,MPN/100 mL,MMO-MUG,100,100,VCHCA
