CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,4/27/2015 3:58:00 PM,Total Organic Carbon,n/a,=,12200,mg/Kg,dw,EPA,9060,36 200 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Dichloran,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Pendimethalin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Allethrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Bifenthrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Cyfluthrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Cypermethrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Deltamethrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Esfenvalerate,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Fenpropathrin (Danitol),n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Fenvalerate,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,lambda-Cyhalothrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Permethrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Phenothrin (Sumithrin),n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Prallethrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Tefluthrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
CCWR07-02,PS-2015,Dry,4/15/2015 12:45:00 PM,5/8/2015 11:33:00 AM,Tralomethrin,n/a,<,0.93,ng/g,dw,yrthrdGCMS-SIM,0.93,0.93 WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/21/2015 8:30:00 AM,E. Coli,n/a,=,44100,MPN/100 mL,MMO-MUG,1000,1000,VCHCA
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/21/2015 8:30:00 AM,Total Coliform,n/a,=,201400,MPN/100 mL,MMO-MUG,1000,1000,VCHCA
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/26/2015 3:50:00 PM,Calcium,Total,=,300,mg/L,EPA 200.7,0.016,0.1,WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/26/2015 3:50:00 PM,Magnesium,Total,=,230,mg/L,EPA 200.7,0.012,0.1,WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,Conductivity,n/a,=,9230,µmhos/cm,Field Meter,-88,1,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,Discharge,n/a,=,12,cfs,Field Estimate,-88,-88,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,DO,n/a,=,47.4,%,Field Meter,-88,0.1,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,DO,n/a,=,3.98,mg/L,Field Meter,-88,0.3,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/26/2015 3:50:00 PM,Hardness as CaCO3,Total,=,1690,mg/L,EPA 200.7,0.0894,0.662,WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,pH,n/a,=,7.31,pH Units,Field Meter,-88,0.01,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,Salinity,n/a,=,5900,mg/L,Field Meter,-88,100,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,Specific Conductance,n/a,=,10450,µmhos/cm,Field Meter,-88,1,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,Temperature,n/a,=,23.2,°C,Field Meter,-88,0.1,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/26/2015 11:01:00 AM,Total Organic Carbon,n/a,=,5.5,mg/L,SM 5310 C,0.036,1.2,WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,8/20/2015 11:40:00 AM,Turbidity,n/a,=,15.7,NTU,Field Meter,-88,0.01,Field
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,9/2/2015 1:49:00 PM,Copper,Dissolved,DNQ,0.21,µg/L,EPA 200.8,0.13,0.5,WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,9/2/2015 1:49:00 PM,Lead,Dissolved,DNQ,0.031,µg/L,EPA 200.8,0.031,0.2,WKL
DRY-HUE3,2015-DRY,Dry,8/20/2015 11:40:00 AM,9/2/2015 1:49:00 PM,Zinc,Dissolved,DNQ,1.2,µg/L,EPA 200.8,0.94,5,WKL
DRY-MPK2,2015-DRY,Dry,8/19/2015 11:20:00 AM,8/20/2015 9:25:17 AM,E. Coli,n/a,=,10,MPN/100 mL,MMO-MUG,10,10,VCHCA
DRY-MPK2,2015-DRY,Dry,8/19/2015 11:20:00 AM,8/20/2015 9:25:17 AM,Total Coliform,n/a,=,2359,MPN/100 mL,MMO-MUG,10,10,VCHCA
DRY-MPK2,2015-DRY,Dry,8/19/2015 11:20:00 AM,8/26/2015 3:42:00 PM,Calcium,Total,=,45.4,mg/L,EPA 200.7,0.016,0.1,WKL
DRY-MPK2,2015-DRY,Dry,8/19/2015 11:20:00 AM,8/26/2015 3:42:00 PM,Magnesium,Total,=,4.9,mg/L,EPA 200.7,0.012,0.1,WKL
DRY-MPK2,2015-DRY,Dry,8/19/2015 11:20:00 AM,8/19/2015 11:20:00 AM,Conductivity,n/a,=,890,µmhos/cm,Field Meter,-88,1,Field
