Exported from VCWPD Hydrologic Data Server
Requested: 04/23/2020 23:41:03
Requested daily rainfall totals for station: 175A
Data Period: 2019-10-01 00:00 to 2020-10-01 00:00
Site Id: 175A
Station Name: Saticoy-County Yard
Latitude: 34° 16' 52.4" N
Longitude: 119° 8' 27.7" W
Elevation (ft): 150
Station Type: Recording Precip Gage
VCWPD Zone: Zone 2 (Santa Clara River)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
11/17/2019 08:00,0,,2,P
11/18/2019 08:00,0,,2,P
11/19/2019 08:00,0,,2,P
11/20/2019 08:00,0,,2,P
11/21/2019 08:00,0.22,,2,P
11/22/2019 08:00,0,,2,P
11/23/2019 08:00,0,,2,P
11/24/2019 08:00,0,,2,P
11/25/2019 08:00,0,,2,P
11/26/2019 08:00,0,,2,P
11/27/2019 08:00,0.82,,2,P
11/28/2019 08:00,0.92,,1,P
11/29/2019 08:00,0.35,,1,P
11/30/2019 08:00,0.02,,1,P
12/01/2019 08:00,0.1,,2,P
12/02/2019 08:00,0,,2,P
12/03/2019 08:00,0,,2,P
12/04/2019 08:00,1.01,,2,P
12/05/2019 08:00,0.12,,2,P
12/06/2019 08:00,0,,2,P
12/07/2019 08:00,0.28,,2,P
12/08/2019 08:00,0.36,,1,P
12/09/2019 08:00,0.05,,2,P
12/10/2019 08:00,0.01,,2,P
12/11/2019 08:00,0,,2,P
12/12/2019 08:00,0,,2,P
12/13/2019 08:00,0,,2,P
12/14/2019 08:00,0,,2,P
12/15/2019 08:00,0,,2,P
12/16/2019 08:00,0,,2,P
12/17/2019 08:00,0,,2,P
12/18/2019 08:00,0,,2,P
12/19/2019 08:00,0,,2,P
12/20/2019 08:00,0,,2,P
12/21/2019 08:00,0,,2,P
12/22/2019 08:00,0,,2,P
12/23/2019 08:00,1.63,,2,P
12/24/2019 08:00,0.1,,2,P
12/25/2019 08:00,0,,2,P
12/26/2019 08:00,1.4,,2,P
12/27/2019 08:00,0,,2,P
12/28/2019 08:00,0,,2,P
12/29/2019 08:00,0,,2,P
12/30/2019 08:00,0,,2,P
12/31/2019 08:00,0,,2,P
01/01/2020 08:00,0,,2,P
01/02/2020 08:00,0,,2,P
01/03/2020 08:00,0,,2,P
01/04/2020 08:00,0,,2,P
01/05/2020 08:00,0,,2,P
01/06/2020 08:00,0,,2,P
01/07/2020 08:00,0,U,148,U
01/08/2020 08:00,0,U,148,U
01/09/2020 08:00,0,U,148,U
01/10/2020 08:00,0,U,148,U
01/11/2020 08:00,0,U,148,U
01/12/2020 08:00,0,U,148,U
01/13/2020 08:00,0,U,148,U
01/14/2020 08:00,0,U,148,U
01/15/2020 08:00,0,U,148,U
01/16/2020 08:00,0,U,148,U
01/17/2020 08:00,0.69,U,148,U
01/18/2020 08:00,0,U,148,U
01/19/2020 08:00,0,U,148,U
01/20/2020 08:00,0,U,148,U
01/21/2020 08:00,0.12,U,148,U
01/22/2020 08:00,0,U,148,U
01/23/2020 08:00,0,U,148,U
01/24/2020 08:00,0,U,148,U
01/25/2020 08:00,0,U,148,U
01/26/2020 08:00,0,U,148,U
01/27/2020 08:00,0,U,148,U
01/28/2020 08:00,0,U,148,U
01/29/2020 08:00,0,U,148,U
01/30/2020 08:00,0,U,148,U
01/31/2020 08:00,0,U,148,U
02/01/2020 08:00,0,U,148,U
02/02/2020 08:00,0,U,148,U
02/03/2020 08:00,0,U,148,U
02/04/2020 08:00,0,U,148,U
02/05/2020 08:00,0,U,148,U
02/06/2020 08:00,0,U,148,U
02/07/2020 08:00,0,U,148,U
02/08/2020 08:00,0,U,148,U
02/09/2020 08:00,0,U,148,U
02/10/2020 08:00,0,U,148,U
02/11/2020 08:00,0,U,148,U
02/12/2020 08:00,0,U,148,U
02/13/2020 08:00,0,U,148,U
02/14/2020 08:00,0,U,148,U
02/15/2020 08:00,0,U,148,U
02/16/2020 08:00,0,U,148,U
02/17/2020 08:00,0,U,148,U
02/18/2020 08:00,0,U,148,U
02/19/2020 08:00,0,U,148,U
02/20/2020 08:00,0,U,148,U
02/21/2020 08:00,0,U,148,U
02/22/2020 08:00,0,U,148,U
02/23/2020 08:00,0.03,U,148,U
02/24/2020 08:00,0.01,U,148,U
02/25/2020 08:00,0,U,148,U
02/26/2020 08:00,0,U,148,U
02/27/2020 08:00,0,U,148,U
02/28/2020 08:00,0,U,148,U
02/29/2020 08:00,0,U,148,U
03/01/2020 08:00,0,U,148,U
03/02/2020 08:00,0,U,148,U
03/03/2020 08:00,0,U,148,U
03/04/2020 08:00,0,U,148,U
03/05/2020 08:00,0,U,148,U
03/06/2020 08:00,0,U,148,U
03/07/2020 08:00,0,U,148,U
03/08/2020 08:00,0,U,148,U
03/09/2020 08:00,0,U,148,U
03/10/2020 08:00,0.06,U,148,U
03/11/2020 08:00,0.02,U,148,U
03/12/2020 08:00,0.01,U,148,U
03/13/2020 08:00,0.84,U,148,U
03/14/2020 08:00,0.23,U,148,U
03/15/2020 08:00,0.08,U,148,U
03/16/2020 08:00,0.03,U,148,U
03/17/2020 08:00,0.91,U,148,U
03/18/2020 08:00,0.01,U,148,U
03/19/2020 08:00,0,U,148,U
03/20/2020 08:00,0,U,148,U
03/21/2020 08:00,0,U,148,U
03/22/2020 08:00,0,U,148,U
03/23/2020 08:00,0.86,U,148,U
03/24/2020 08:00,0.02,U,148,U
03/25/2020 08:00,0,U,148,U
03/26/2020 08:00,0,U,148,U
03/27/2020 08:00,0,U,148,U
03/28/2020 08:00,0.01,U,148,U
03/29/2020 08:00,0,U,148,U
03/30/2020 08:00,0,U,148,U
03/31/2020 08:00,0,U,148,U
04/01/2020 08:00,0,U,148,U
04/02/2020 08:00,0,U,148,U
04/03/2020 08:00,0,U,148,U
04/04/2020 08:00,0,U,148,U
04/05/2020 08:00,0,U,148,U
04/06/2020 08:00,0.74,U,148,U
04/07/2020 08:00,0.01,U,148,U
04/08/2020 08:00,0.26,U,148,U
04/09/2020 08:00,0.31,U,148,U
04/10/2020 08:00,0.55,U,148,U
04/11/2020 08:00,0,U,148,U
04/12/2020 08:00,0,U,148,U
04/13/2020 08:00,0,U,148,U
04/14/2020 08:00,0,U,148,U
04/15/2020 08:00,0,U,148,U
04/16/2020 08:00,0,U,148,U
04/17/2020 08:00,0,U,148,U
04/18/2020 08:00,0,U,148,U
04/19/2020 08:00,0,U,148,U
04/20/2020 08:00,0,U,148,U
04/21/2020 08:00,0,U,148,U
04/22/2020 08:00,0,U,148,U
Water Year 2020 Total,13.19

List of Quality Codes
Quality Code,Code,Description
1,,Good Unedited Data
2,,Good quality edited data
148,U,Unverified Data

List of Publication Codes
Publish Code,Description
A,Approved for publication
P,Preliminary - Subject to revision
U,Unverified Telemetry Data

Data that are not contained in the "Official Reports" are considered preliminary and subject to change until checked and evaluated. Ventura County does not guarantee the accuracy of these data. Use the download 'Official Reports' tab for official data.
