Exported from VCWPD Hydrologic Data Server
Requested: 04/23/2020 23:28:38
Requested daily rainfall totals for station: 017C
Data Period: 2019-10-01 00:00 to 2020-10-01 00:00
Site Id: 017C
Station Name: Port Hueneme - Oxnard Sewer Plant
Latitude: 34° 8' 30.1" N
Longitude: 119° 11' 11.9" W
Elevation (ft): 10
Station Type: Recording Precip Gage
VCWPD Zone: Zone 2 (Santa Clara River)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
10/01/2019 08:00,0,,2,P
10/02/2019 08:00,0,,2,P
10/03/2019 08:00,0,,2,P
10/04/2019 08:00,0,,2,P
10/05/2019 08:00,0,,2,P
10/06/2019 08:00,0,,2,P
10/07/2019 08:00,0,,2,P
10/08/2019 08:00,0,,2,P
10/09/2019 08:00,0,,2,P
10/10/2019 08:00,0,,2,P
10/11/2019 08:00,0,,2,P
10/12/2019 08:00,0,,2,P
10/13/2019 08:00,0,,2,P
10/14/2019 08:00,0,,2,P
10/15/2019 08:00,0,,2,P
10/16/2019 08:00,0,,2,P
10/17/2019 08:00,0,,2,P
10/18/2019 08:00,0,,2,P
10/19/2019 08:00,0,,2,P
10/20/2019 08:00,0,,2,P
10/21/2019 08:00,0,,2,P
10/22/2019 08:00,0,,2,P
10/23/2019 08:00,0,,2,P
10/24/2019 08:00,0,,2,P
10/25/2019 08:00,0,,2,P
10/26/2019 08:00,0,,2,P
10/27/2019 08:00,0,,2,P
10/28/2019 08:00,0,,2,P
10/29/2019 08:00,0,,2,P
10/30/2019 08:00,0,,2,P
10/31/2019 08:00,0,,2,P
11/01/2019 08:00,0,,2,P
11/02/2019 08:00,0,,2,P
11/03/2019 08:00,0,,2,P
11/04/2019 08:00,0,,2,P
11/05/2019 08:00,0,,2,P
11/06/2019 08:00,0,,2,P
11/07/2019 08:00,0,,2,P
11/08/2019 08:00,0,,2,P
11/09/2019 08:00,0,,2,P
11/10/2019 08:00,0.01,,2,P
11/11/2019 08:00,0,,2,P
11/12/2019 08:00,0,,2,P
11/13/2019 08:00,0,,2,P
11/14/2019 08:00,0,,2,P
11/15/2019 08:00,0,,2,P
